Vad är din nuvarande roll på din arbetsplats?,Vad är din lön?,Hur länge har du kodat professionellt? (i)
Devops/Frontend/Backend,41000,5
Junior Konsult,36000,0.5
Head of Product,90000,15
iOS utvecklare,18000,1
Systemutvecklare,40000,6
Technical Manager,39000,10
programmerare,34000,3
Webbutvecklare,27000,2
Systemutvecklare,33000,5
Forskare,98000,38
Konsult,72000,20
Utvecklare/Arkitekt,44000,17
Full stack utvecklare,35500,10
Erfaren designer,45000,16
Team manager,43000,15
Systemutvecklare,28000,0.7
Lead developer,64500,30
Kodapa konsult,50000,20
Fullstack webbutvecklare,22000,3
Javautvecklare,34000,1
Senior Fullstack Developer,60000,18
Programmerare/Konsult,85000,20
Systemutvecklare,24750,1
Lead Developer,38500,10
Nätverksperson,42000,25
Frontendutvecklare,25000,2
konsult. utvecklare ,38000,23
Arkitekt ,36000,0
Frontend developer,36000,6
Frilansande webbutvecklare(eget företag) ,50000,9
Backend konsult,60500,12
Systemutvecklare,35000,2
Senior software developer,38600,9
Utvecklare ,28000,4
Frontendutvecklare,35000,7
Programmerare,28000,0.5
Fullstack,29000,0.5
Systemprogrammerare,45000,12
Software Engineer,54000,11
Timanställd junior .NET utvecklare,23925,1
Webbutvecklare,38000,15
Utvecklingschef,70000,20
Systemutvecklare,32000,3
Build Engineer har jag hört det kallas. Jobbar mest med CI/CD integrationer. Bred utvecklingsgrund att stå på innan dess.  ,40000,5
Software developer,39000,1
Utvecklare,52000,8
Utvecklare / architect ,45000,19
Front end utvecklare   Android.,32500,3.5
Utvecklare,39000,15
Utvecklare,43000,8
Apputvecklare,34000,2
Developer,48000,6
Team lead,60000,20
Utvecklare .NET,38000,3
Systemutvecklare,39000,9
Full stack web developer,32000,12
Utvecklare,35000,1
frontend utvecklare,35000,4
Systemutvecklare,34000,0
Junior utvecklare,27000,1
Arkitekt,90000,22
Utvecklare,32000,5
Utvecklare,46300,18
Fullstack,40000,4
Systemutvecklare,43000,10
System utvecklare ,30000,1
Mallutvecklare ,27000,1
 Systemutvecklare,44500,7.5
Technical Lead,40000,10
Systemutvecklare,50000,8
Programmerare,48500,9
Front end developer,31000,2
It konsult,27500,0.2
Lead developer,68000,4
Systemutvecklare,34500,8
systemutvecklare,30000,3
Senior Software Architect,56000,3
CTO. fullstack Node/AngularJS dev,52500,20
Systemutvecklare ,37000,11
Utvecklare,30000,1
Lead Architect,66000,35
It konsult (utvecklare),35000,0.5
Frontend utveckling ,42000,4
Utvecklare,125000,4
IT Konsult,66000,3
Utvecklare,40000,5
Back end Engineer,56000,5
Utvecklare/creative technologist,83333,4
systemförvaltare,42600,20
Utvecklare. backend främst men även devops,30000,4
Systemutvecklare ,37200,9
Senior Network Engineer,140000,20
Fullstackutvecklare,47000,15
Systemutvecklare,32800,2.5
Junior systemutvecklare ,30000,0.7
devops,43000,5
Systemutvecklare,32000,1
Systemutvecklare,29000,3
Systemutvecklare ,45900,12
Konsult,50000,1
Konsult,42000,7
Webbutvecklare,36000,5
Webbutvecklare,32000,2.5
Systemutvecklare,38000,8
Utvecklare,40500,6
Lösningsarkitekt,56000,9
Backend och DevOps,38000,2
Systemarkitekt,50000,10
Konsult systemutvecklare,50000,2.5
Systemutvecklare,30000,0.2
Teknisk Support Ingenjör,41000,2
Senior IT Consultant,37500,7
Lead developer,40000,8
Stockholm,29000,5
Utvecklare,70000,5
Arkitekt/utvecklare,43000,16
Konsult,50000,11
Senior utvecklare,45000,10
Software engineer,37500,4.5
Systemutvecklare ,39000,1.5
Lead,43000,8
IT/Management Konsult ,35000,1
CTO,60000,18
Programmerare,54000,15
Itchef/utvecklare,56000,20
,25000,20
Webbutvecklare/konsult,78000,8
Director of Engineering,61500,20
Utvecklare,37000,2
Utvecklare ,32000,1
Technical lead,40800,5
Systemarkitekt,37000,10
Software developer,35200,8
Tech lead,43000,12
Utvecklare,27000,0
Junior utvecklare,31000,0.3
Utvecklare,43000,9
Backend utvecklare,40000,5
Senior utvecklare,35000,9
Webbutvecklare,35500,1.5
Systemutvecklare ,38000,2
